ARTISTI;TULOT
James Taylor   ;$500Ê000,00
Janet Jackson   ;$500Ê000,00
John Mayer   ;$500Ê000,00
John Mellencamp   ;$500Ê000,00
Kid Rock   ;$500Ê000,00
Lenny Kravitz   ;$500Ê000,00
Linkin Park   ;$500Ê000,00
Mana   ;$500Ê000,00
Mick Fleetwood Band   ;$500Ê000,00
Neil Diamond   ;$500Ê000,00
New Kids On The Block   ;$500Ê000,00
One Direction   ;$500Ê000,00
Sheryl Crow   ;$500Ê000,00
The Cure   ;$500Ê000,00
The Raconteurs   ;$500Ê000,00
Imagine Dragons   ;$600Ê000,00
fun.   ;$600Ê000,00
Bette Midler   ;$750Ê000,00
Carlos Santana   ;$750Ê000,00
Christina Aguilera   ;$750Ê000,00
Dave Matthews Band   ;$750Ê000,00
David Lee Roth   ;$750Ê000,00
Enrique Iglesias   ;$750Ê000,00
Katy Perry   ;$750Ê000,00
Mariah Carey   ;$750Ê000,00
Muse   ;$750Ê000,00
Neil Young   ;$750Ê000,00
Paul Simon   ;$750Ê000,00
Annie Lennox   ;$850Ê000,00
Jon Bon Jovi & Friends   ;$850Ê000,00
Adele;$999Ê000,00
Red Hot Chili Peppers   ;$999Ê000,00
Backstreet Boys   ;$999Ê999,00
Black Eyed Peas   ;$999Ê999,00
Bruce Springsteen And The E Street Band   ;$999Ê999,00
Bryan Adams   ;$999Ê999,00
Buffalo Springfield   ;$999Ê999,00
David Bowie   ;$999Ê999,00
Eagles   ;$999Ê999,00
Eminem   ;$999Ê999,00
Gloria Estefan   ;$999Ê999,00
Green Day   ;$999Ê999,00
Jimmy Buffett   ;$999Ê999,00
Pink Floyd   ;$999Ê999,00
Rage Against The Machine   ;$999Ê999,00
Robbie Williams   ;$999Ê999,00
Sting   ;$999Ê999,00
Tom Petty & The Heartbreakers   ;$999Ê999,00
Billy Joel   ;$1Ê000Ê000,00
Miley Cyrus   ;$1Ê000Ê000,00
Pink   ;$1Ê000Ê000,00
Ricky Martin   ;$1Ê000Ê000,00
Rod Stewart   ;$1Ê000Ê000,00
Rolling Stones   ;$1Ê000Ê000,00
Shakira   ;$1Ê000Ê000,00
The Black Keys   ;$1Ê000Ê000,00
Van Morrison   ;$1Ê000Ê000,00
Aerosmith;$1Ê300Ê000,00
Prince   ;$1Ê500Ê000,00
